penggunaan kacamata,metode,percobaan,mean r-Ear,mean l-Ear,mean mar,std r-Ear,std l-Ear,std mar
Kacamata,Tracking,1,0.3253266,0.35704556,0.042426158,0.06553227,0.066630214,0.03634051
Kacamata,Tracking,2,0.31498003,0.34416112,0.047017153,0.06037734,0.06343624,0.023919463
Kacamata,Tracking,3,0.29239064,0.3242085,0.03233615,0.058426138,0.052876186,0.017434433
Tidak Kacamata,Tracking,1,0.30023667,0.34277776,0.025468433,0.07553216,0.053649053,0.104762405
Tidak Kacamata,Tracking,2,0.30583438,0.3426996,0.017825907,0.09633031,0.049338877,0.02328926
Tidak Kacamata,Tracking,3,0.27486697,0.31311578,0.01752428,0.072391234,0.059739448,0.018721463
Kacamata,Tidak Tracking,1,0.29958016,0.3474305,0.026264647,0.04686383,0.05498822,0.01585308											
Kacamata,Tidak Tracking,2,0.29834542,0.34783828,0.03147403,0.04560347,0.06299985,0.02197379											
Kacamata,Tidak Tracking,3,0.29834542,0.36065555,0.040183805,0.06121567,0.07327051,0.020625446											
Tidak Kacamata,Tidak Tracking,1,0.2812937,0.3307536,0.014617462,0.043982264,0.048074514,0.012607184											
Tidak Kacamata,Tidak Tracking,2,0.31420812,0.37173864,0.019171204,0.037516564,0.045401502,0.023113409											
Tidak Kacamata,Tidak Tracking,3,0.29097894,0.35330227,0.016469501,0.041716844,0.0507922,0.02306064											
